Razão Social;Nome Fantasia;CNPJ;Porte;Data de Inicio da Operação;Situação;Atividade;CEP;UF;Localidade;Bairro;Logradouro;Complemento;Telefone;Email Institucional;Email Comercial;Site;Data de Geração do Certificado;Data de Validade do Certificado;Código do Certificado;CNAE;Natureza Jurídica;Tipo de Veículo;Veículos Aquáticos;Veículos Terrestre;Línguas;Quantidade de Veículos;Trimestre
RBR TRANSPORTE E LOCADORA EIRELI;ROYAL RECEPTIVO;10.932.538/0002-79;MICROEMPRESA;11/09/2015;Em Operação;Locadora de Veículos para Turistas;73005-108;DF;Brasília;Sobradinho;Quadra 10 Conjunto H;Lote 57;(61)3021-5580;contato@royalreceptivo.com.br;contato@royalreceptivo.com.br;www.royalreceptivo.com.br;10/02/2020 09:27:58;10/02/2022 09:27:58;10.932.538/0002-79;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ;Espanhol|Francês|Inglês;0;2020T01
R. & S. LOCADORA RENT A CAR LTDA;R & S RENTACAR;10.951.383/0001-37;MICROEMPRESA;01/07/2009;Em Operação;Locadora de Veículos para Turistas;45654-420;BA;Ilhéus;Pontal;Brigadeiro Eduardo Gomes;- de 83/84 ao fim;(73)8861-2544;r_srentacar@hotmail.com;r_srentacar@hotmail.com;www.resrentacar.com.br;05/06/2019 11:15:37;05/06/2021 11:15:37;10.951.383/0001-37;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
JUAREZ SILVA RODRIGUES;ANDATRANS;10.961.138/0001-00;MICROEMPRESA;13/07/2009;Em Operação;Locadora de Veículos para Turistas;46830-000;BA;Andaraí; - ;avenida paraguassu;sn;(75)3335-2166;rjroberto2010@gmail.com;rjroberto2010@gmail.com; - ;11/04/2018 14:47:49;11/04/2020 14:47:49;10.961.138/0001-00;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
FELIPE MORAIS - LOCACAO DE VEICULOS LTDA;LOC ALL RENT A CAR;11.017.691/0001-52;DEMAIS;03/08/2009;Em Operação;Locadora de Veículos para Turistas;60060-090;CE;Fortaleza;Centro;Dom Manuel;- até 1023/1024 ;(85)3267-7584;locallrentacar@gmail.com;locallrentacar@gmail.com;www.locallrentacar.com.br;28/11/2019 10:11:26;28/11/2021 10:11:26;11.017.691/0001-52;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Alemão|Espanhol|Francês|Inglês;0;2020T01
RR SERVICOS DE MANOBRISTAS LTDA;VIP VALET SERVICE;11.064.666/0001-20;MICROEMPRESA;10/08/2009;Em Operação;Locadora de Veículos para Turistas;60192-105;CE;Fortaleza;Cocó;Doutor Gilberto Studart;Torre Sul - Sala 706;(85)3081-6005;GERENCIAL.SHEILA@GMAIL.COM;GERENCIAL.SHEILA@GMAIL.COM; - ;25/04/2018 17:14:30;25/04/2020 17:14:30;11.064.666/0001-20;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
SOLUCOES RENT A CAR LTDA;SOLUCOES RENT A CAR;11.078.937/0001-04;EMPRESA DE PEQUENO PORTE;24/08/2009;Em Operação;Locadora de Veículos para Turistas;50751-000;PE;Olinda;Prado;Engenheiro Abdias de Carvalho,1671;1671;(81)3082-9144;solucoesrentacar@gmail.com;solucoesrentacar@gmail.com; - ;30/10/2018 11:52:35;30/10/2020 11:52:35;11.078.937/0001-04;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
RHYNO TRANSPORTES E SERVICOS LTDA;BELLA VIA;11.143.106/0001-60;MICROEMPRESA;24/07/2009;Em Operação;Locadora de Veículos para Turistas;78048-100;SP;São Paulo;Despraiado;Berlim; - ;(65)3025-3092;mauricio@bellavia.com.br;mauricio@bellavia.com.br; - ;16/08/2018 10:27:14;16/08/2020 10:27:14;11.143.106/0001-60;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
E. L. DE LIMA MORAN BELLINI;PITTY BELLINI;11.150.467/0001-34;MICROEMPRESA;17/09/2009;Em Operação;Locadora de Veículos para Turistas;79290-000;MS;Bonito; - ;Rua 15 de Novembro;Nº 972 - Centro;(67)9964-9660;pittybellini@hotmail.com;pittybellini@hotmail.com; - ;09/07/2019 12:21:32;09/07/2021 12:21:32;11.150.467/0001-34;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ;Espanhol;0;2020T01
JR TRANSPORTES EIRELI;J & R TRANSPORTE;11.158.812/0001-86;DEMAIS;07/08/2009;Em Operação;Locadora de Veículos para Turistas;05036-020;SP;São Paulo;Água Branca;Adriano José Marchini; - ;(11)3976-5244;JAIR@JRTRANSPORTESSP.COM.BR;JAIR@JRTRANSPORTESSP.COM.BR; - ;12/03/2019 09:33:51;12/03/2021 09:33:51;11.158.812/0001-86;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
WAGNER LIMA DE SOUZA;WN PRODUCOES E EVENTOS;11.170.992/0001-11;MICROEMPRESA;25/08/2009;Em Operação;Locadora de Veículos para Turistas;57057-780;AL;Maceió;Pinheiro;Comendador Francisco de Amorim Leão; - ;(82)3313-6735;wn.producoes.eventos@gmail.com;wn.producoes.eventos@gmail.com; - ;30/10/2018 11:39:24;30/10/2020 11:39:24;11.170.992/0001-11;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
C. S. LOCADORA DE VEICULOS LTDA;C.S LOCADORA DE VEÍCULOS ;11.194.235/0001-88;MICROEMPRESA;24/08/2009;Em Operação;Locadora de Veículos para Turistas;11680-000;SP;Ubatuba; - ;rua jose pedro, n 25, marafunda;escritorio;(12)3832-2330;dedersfernandes@gmail.com;viviani.valim@hotmail.com; - ;10/01/2019 13:15:49;10/01/2021 13:15:49;11.194.235/0001-88;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
ADRIANO SANDRIN TRANSPORTES;SANDRIN TRANSPORTES;11.268.897/0001-55;MICROEMPRESA;23/10/2009;Em Operação;Locadora de Veículos para Turistas;14500-000;SP;Ituverava; - ;Rua Deputado Francisco Barbosa, 860;Casa;(16)3839-6282;adriano.sandrin@gmail.com;adriano.sandrin@gmail.com; - ;17/08/2018 12:18:35;17/08/2020 12:18:35;11.268.897/0001-55;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual);Terrestre; - ;Microonibus; - ;2;2020T01
MARCIO W. DE BRITO MARTINS;FORTAL EXECUTIVO TRANSPORTES;11.299.532/0001-98;MICROEMPRESA;28/10/2009;Em Operação;Locadora de Veículos para Turistas;60833-075;CE;Fortaleza;Sapiranga;Marcelino Lopes; - ;(85)3275-7868;fortalexecutivo@gmail.com;fortalexecutivo@gmail.com;www.fortalexecutivo.com.br;14/02/2020 11:00:02;14/02/2022 11:00:02;11.299.532/0001-98;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
E. P. DO NASCIMENTO EIRELI;E. P. TUR;11.304.764/0001-97;MICROEMPRESA;03/04/2009;Em Operação;Locadora de Veículos para Turistas;57990-000;AL;Messias; - ;Sem Logradouro; - ;(82)8877-4022;eptur-al@hotmail.com;eptur-al@hotmail.com; - ;24/10/2018 12:13:06;24/10/2020 12:13:06;11.304.764/0001-97;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
IVS LOCACAO TRANSPORTE E TURISMO EIRELI;I V S LOCACAO TRANPORTE E TURISMO;11.313.575/0001-80;MICROEMPRESA;04/11/2009;Em Operação;Locadora de Veículos para Turistas;47665-000;BA;São Félix do Coribe; - ;casa;;(77)3491-2982;ivslocacao@gmail.com;ivslocacao@gmail.com; - ;20/09/2018 14:45:15;20/09/2020 14:45:15;11.313.575/0001-80;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
VERA LUCIA DE OLIVEIRA TRANSPORTES DE PASSAGEIROS- EIRELI;TRANSPORTE NOSSA SENHORA DE FATIMA;11.335.375/0001-29;MICROEMPRESA;28/09/2009;Em Operação;Locadora de Veículos para Turistas;83605-550;PR;Campo Largo;Vila Rivabem;Rua Medianeira;86;(41)3399-1965;tholiv@gmail.com;tholiv@gmail.com; - ;24/10/2019 13:22:01;24/10/2021 13:22:01;11.335.375/0001-29;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
PCV TRANSPORTES EIRELI;PCV TRANSPORTES;11.392.796/0001-91;MICROEMPRESA;09/12/2009;Em Operação;Locadora de Veículos para Turistas;91787-750;RS;Porto Alegre;Lomba do Pinheiro;João de Oliveira Remião;- de 8018/8019 ao fim;(51)3319-5269;pcvtransportes@hotmail.com;pcvtransportes@hotmail.com;http.www.aluguevanrs.com.br;18/09/2019 10:51:08;18/09/2021 10:51:08;11.392.796/0001-91;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
SR LOCACAO E SERVICOS LTDA;SR LOCADORA;11.399.304/0001-90;EMPRESA DE PEQUENO PORTE;14/12/2009;Em Operação;Locadora de Veículos para Turistas;57035-230;AL;Maceió;Ponta Verde;Professor Sandoval Arroxelas; - ;(82)3311-0004;attacklocao@gmail.com;attacklocao@gmail.com; - ;13/12/2018 14:09:45;13/12/2020 14:09:45;11.399.304/0001-90;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Automóvel|Utilitário;Espanhol|Inglês;13;2020T01
HEFZIBA LOCADORA DE VEICULOS & TRANSPORTES EIRELI;HEFZIBA TURISMO;11.415.613/0001-06;MICROEMPRESA;27/11/2009;Em Operação;Locadora de Veículos para Turistas;07178-490;SP;Guarulhos;Vila Carmela II;Peruíbe; - ;(11)9472-4474;hefzibatransportes@hotmail.com;hefzibatransportes@hotmail.com;www.hefzibaturismo.com.br;25/07/2018 12:34:06;25/07/2020 12:34:06;11.415.613/0001-06;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
CR LOG SERVICOS DE LOGISTICA, LOCADORA E TRANSPORTE LTDA;CR LOG TRANSPORTES EXECUTIVO E LOGISTICA;11.417.858/0001-72;MICROEMPRESA;16/12/2009;Em Operação;Locadora de Veículos para Turistas;18116-440;SP;Votorantim;Vila Domingues;Santos Dumont; - ;(15)3242-1037;contato@crlog-logistica.com.br;ronaldo@crlog-logistica.com.br;www.crlog-logistica.com.br;04/09/2018 12:45:48;04/09/2020 12:45:48;11.417.858/0001-72;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Espanhol|Inglês|Português;0;2020T01
SBS TRANSPORTES E LOGISTICA EIRELI;Sbs transportes e logistica ;11.434.870/0001-95;MICROEMPRESA;04/01/2010;Em Operação;Locadora de Veículos para Turistas;31230-120;MG;Belo Horizonte;Caiçaras;Frei Orlando;- até 898/899;(31)9957-7005;alugueldevansecarros@gmail.com;alugueldevansecarros@gmail.com; - ;18/12/2018 14:07:48;18/12/2020 14:07:48;11.434.870/0001-95;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
MOBILE CONSTRUCOES E LOCACOES LTDA;MOTORS;11.439.821/0001-45;MICROEMPRESA;06/01/2010;Em Operação;Locadora de Veículos para Turistas;79021-435;MS;Campo Grande;Royal Park;Hélio Yoshiaki Ikeziri 34; - ;(67)9840-6655;marcelobicca@hotmail.com;marcelobicca@hotmail.com; - ;22/05/2018 11:28:11;22/05/2020 11:28:11;11.439.821/0001-45;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Automóvel; - ;2;2020T01
BRISA AUTO LOCACOES EIRELI;BRISA AUTO LOCAÇÕES;11.447.604/0001-05;EMPRESA DE PEQUENO PORTE;26/12/1978;Em Operação;Locadora de Veículos para Turistas;55299-670;PE;Garanhuns;Severiano de Moraes Filho;Guilherme Farel Cardoso Gueiros; - ;(87)9930-2267;brisaautolocacoes@hotmail.com;brisaautolocacoes@hotmail.com; - ;02/05/2020 09:31:09;02/05/2022 09:31:09;11.447.604/0001-05;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
BEZERRA'S AGENCIA DE VIAGENS TURISMO E LOCADORA DE VEICULOS LTDA;BEZERRAS;11.449.308/0001-35;MICROEMPRESA;04/12/2009;Em Operação;Locadora de Veículos para Turistas;13186-013;SP;Hortolândia;Jardim Santo André;Senador Severo Gomes; - ;(19)3819-6152;contatobezerrasturismo@outlook.com;contatobezerrasturismo@outlook.com; - ;01/11/2019 13:12:51;01/11/2021 13:12:51;11.449.308/0001-35;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
SANTA FE TRANSPORTES EIRELI;SANTA FE TRANSPORTES;11.475.608/0001-99;MICROEMPRESA;20/01/2010;Em Operação;Locadora de Veículos para Turistas;39397-000;MG;Guaraciama; - ;RUA LOURIVAL SOARES CRUZ;;(38)9918-5270;juniorojuara18@hotmail.com;juniorojuara18@hotmail.com; - ;31/07/2019 15:00:27;31/07/2021 15:00:27;11.475.608/0001-99;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
PONTO FORTE LOCADORA DE VEICULOS LTDA;PONTO FORTE LOCADORA DE VEÍCULOS;11.486.013/0001-39;EMPRESA DE PEQUENO PORTE;21/01/2010;Em Operação;Locadora de Veículos para Turistas;31720-190;MG;Belo Horizonte;Planalto;Otávio Nicolai, 29;Loja 12;(31)2516-1677;hudson@pontofortelocadora.com.br;hudson@pontofortelocadora.com.br;www.pontofortelocadora.com.br;27/05/2019 11:09:36;27/05/2021 11:09:36;11.486.013/0001-39;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
ADR LOCADORA DE VANS LTDA;ADR LOCADORA DE VANS LTDA - ME;11.501.231/0001-03;MICROEMPRESA;04/12/2009;Em Operação;Locadora de Veículos para Turistas;04317-180;SP;São Paulo;Vila Guarani (Z Sul);Sem Logradouro; - ;(11)2297-3401;atendimento@cvtonelli.com.br;fiscal2@cvtonelli.com.br; - ;23/04/2018 15:14:50;23/04/2020 15:14:50;11.501.231/0001-03;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Espanhol;0;2020T01
APOIO LOCADORA DE VEICULOS LTDA;APOIO LOCADORA;11.516.423/0001-85;MICROEMPRESA;29/01/2010;Em Operação;Locadora de Veículos para Turistas;29122-100;ES;Vila Velha;Glória;Mestre Gomes;casa;(27)9984-4291;apoiolocadora@hotmail.com;apoiolocadora@hotmail.com;;18/04/2019 10:25:55;18/04/2021 10:25:55;11.516.423/0001-85;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês;0;2020T01
TRANS RALTUR TURISMO E FRETAMENTO LTDA;TRANS RALTUR;11.527.318/0001-41;MICROEMPRESA;18/08/1998;Em Operação;Locadora de Veículos para Turistas;28083-485;RJ;Campos dos Goytacazes;Parque Santa Rosa;Ives Bazette dos Santos; - ;(22)2722-8678;trans.atlants@gmail.com;trans.atlants@gmail.com; - ;06/01/2020 09:19:37;06/01/2022 09:19:37;11.527.318/0001-41;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
BR COPI COMERCIO SERVICOS E LOGISTICA EIRELI;BR COPI;11.537.627/0001-00;MICROEMPRESA;01/02/2010;Em Operação;Locadora de Veículos para Turistas;24350-030;RJ;Niterói;Piratininga;Conselheiro Paulo de Mello Kalle;(Lot Cafubá);(21)9130-6426;CONTATOBRCOPI@GMAIL.COM;CONTATOBRCOPI@GMAIL.COM; - ;30/01/2020 08:54:22;30/01/2022 08:54:22;11.537.627/0001-00;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
GUSTAVO RODRIGUES DE ARAUJO EIRELI;INDUSTRIA E COMERCIO DE GELO PHILADELPHIA LTDA - ME;11.543.721/0001-64;MICROEMPRESA;23/11/2009;Em Operação;Locadora de Veículos para Turistas;19015-970;SP;Presidente Prudente;Vila Ocidental;Rua João Ribeiro Pimenta, 168; - ;(18)5704-7055;gelophela@hotmail.com;gelophela@hotmail.com; - ;01/10/2019 10:14:18;01/10/2021 10:14:18;11.543.721/0001-64;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
SUPER VAN LOCADORA DE VEICULOS LTDA;CENTRAL EXECUTIVO DE TRANSPORTE;11.565.525/0001-90;MICROEMPRESA;28/01/2010;Em Operação;Locadora de Veículos para Turistas;05412-001;SP;Cotia;Pinheiros;Sem Logradouro; - ;(11)3420-3920;rafael@topvan.com.br;rafael@topvan.com.br; - ;16/08/2018 12:25:46;16/08/2020 12:25:46;11.565.525/0001-90;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Microonibus; - ;2;2020T01
G G TUR TRANSPORTES TURISMO E VIAGENS LTDA;NENO TUR;11.572.137/0001-37;MICROEMPRESA;25/01/2010;Em Operação;Locadora de Veículos para Turistas;25075-060;RJ;Duque de Caxias;Jardim Vinte e Cinco de Agosto;Poncho Verde;loja-A;(21)2772-5566;neno-tur@hotmail.com;neno-tur@hotmail.com; - ;19/06/2019 11:19:00;19/06/2021 11:19:00;11.572.137/0001-37;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Ônibus; - ;3;2020T01
MOREIRA & LIMA LOCACAO DE VEICULOS LTDA;RL TRANSPORTES;11.583.725/0001-76;MICROEMPRESA;04/02/2010;Em Operação;Locadora de Veículos para Turistas;13456-442;SP;Santa Bárbara D'Oeste;Vila Mollon IV;da Prata;- de 892/893 ao fim;(19)3407-0629;JA_CONTABIL@HOTMAIL.COM;JA_CONTABIL@HOTMAIL.COM; - ;10/07/2018 15:24:46;10/07/2020 15:24:46;11.583.725/0001-76;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês|Português;0;2020T01
NOGUEIRA E NOGUEIRA TRANSPORTES E LOCACOES LTDA;Nogueira e Nogueira transporte e locações Ltda ;11.616.660/0001-18;EMPRESA DE PEQUENO PORTE;21/12/2009;Em Operação;Locadora de Veículos para Turistas;11350-380;SP;São Vicente;Cidade Naútica;Manoel Viegas 134;(Tancredo Neves);(13)3561-2610;nn_transportes@hotmail.com;nn_transportes@hotmail.com; - ;15/05/2019 10:25:53;15/05/2021 10:25:53;11.616.660/0001-18;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
EK TURISMO LTDA;EKTUR;11.628.712/0001-76;MICROEMPRESA;03/03/2010;Em Operação;Locadora de Veículos para Turistas;79290-000;MS;Bonito; - ;Aniceto coelho 706; - ;(67)3255-1488;eklocadora@gmail.com;eklocadora@gmail.com;www.ektur.com.br;28/05/2018 09:48:12;28/05/2020 09:48:12;11.628.712/0001-76;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
V.CAR VEICULOS EIRELI;V. CAR VEICULOS;11.644.975/0001-79;MICROEMPRESA;04/03/2010;Em Operação;Locadora de Veículos para Turistas;78080-480;MT;Cuiabá;Parque Ohara;dos Curiós ;QUADRA 03;(65)9931-7060;vini_beloto@hotmail.com;diretoria2@vcarveiculo.com.br;www.vcarveiculo.com.br;05/09/2019 10:22:41;05/09/2021 10:22:41;11.644.975/0001-79;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ;Espanhol|Inglês;0;2020T01
J. FERREIRA DO CARMO & FERREIRA DA CRUZ LTDA;GLOBO TRANSPORTES;11.651.175/0001-85;MICROEMPRESA;05/03/2010;Em Operação;Locadora de Veículos para Turistas;78714-168;MT;Rondonópolis;Jardim Kenia;Venâncio Ferreira de Farias; - ;(66)9954-0171;joelfcarmo@gmail.com;joelfcarmo@gmail.com; - ;18/04/2018 16:09:00;18/04/2020 16:09:00;11.651.175/0001-85;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
VALMIR DADALTO DE AGUIAR;VALMIR TRANSPORTES;11.657.446/0001-00;MICROEMPRESA;03/03/2010;Em Operação;Locadora de Veículos para Turistas;29945-520;ES;São Mateus;Guriri Sul;Homero Zordan; - ;(27)9973-9656;QUALICON.ASSESSORIA@GMAIL.COM;QUALICON.ASSESSORIA@GMAIL.COM; - ;16/08/2018 14:53:21;16/08/2020 14:53:21;11.657.446/0001-00;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
G.S.MARQUI TRANSPORTES;GS TUR;11.674.440/0001-40;MICROEMPRESA;23/02/2010;Em Operação;Locadora de Veículos para Turistas;28635-000;RJ;Nova Friburgo;Duas Pedras;Governador Roberto Silveira; - ;(22)9816-8888;GILMARSANTIAGOMARQUI700@GMAIL.COM;GILMARSANTIAGOMARQUI700@GMAIL.COM; - ;26/08/2019 09:27:13;26/08/2021 09:27:13;11.674.440/0001-40;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
NADIR C D DIAS LOCACOES E TRANSPORTES LTDA;valdanitur;11.715.642/0001-93;MICROEMPRESA;04/03/2010;Em Operação;Locadora de Veículos para Turistas;19905-156;SP;Ourinhos;Vila São Francisco;Fernando Sanches; - ;(43)3532-4387;amandamorellidias@hotmail.com;amandamorellidias@hotmail.com; - ;31/10/2019 16:33:45;31/10/2021 16:33:45;11.715.642/0001-93;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
ANGRALANCHAS LOCACOES LTDA;ANGRALANCHAS;11.736.952/0001-94;MICROEMPRESA;25/03/2010;Em Operação;Locadora de Veículos para Turistas;23943-105;RJ;Angra dos Reis;Bracuí (Cunhambebe);Beco do badejo s/nº Loja H;Condomínio Studio Marina Bracuí;(24)9996-1122;SEC_CONTABILIDADE@HOTMAIL.COM;comercial@angralanchas.tur.br;www.angralanchas.tur.br;25/10/2019 14:53:21;25/10/2021 14:53:21;11.736.952/0001-94;9329-8/99 - OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE ;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
RCS TRANSPORTES DE PASSAGEIROS LTDA;TRANSTUR;11.740.946/0001-00;MICROEMPRESA;19/03/2010;Em Operação;Locadora de Veículos para Turistas;85811-340;PR;Cascavel;Cancelli;Nereu Ramos;4170;(45)9965-9285;transturturismo@hotmail.com;transturturismo@hotmail.com; - ;06/09/2018 08:47:10;06/09/2020 08:47:10;11.740.946/0001-00;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
IMOVEIS ESCARPAS ALMADA LTDA;IMOVEIS ESCARPAS;11.743.154/0001-90;MICROEMPRESA;26/03/2010;Em Operação;Locadora de Veículos para Turistas;37930-000;MG;Capitólio; - ;Sem Logradouro; - ;(37)3326-5270;imoveisescarpas@hotmail.com;imoveisescarpas@hotmail.com; - ;08/08/2019 14:29:38;08/08/2021 14:29:38;11.743.154/0001-90;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
VERA LUCIA DA SILVA DOS ANJOS;TRANSPORTE E LOCADORA DOS ANJOS;11.748.580/0001-16;DEMAIS;10/02/2010;Em Operação;Locadora de Veículos para Turistas;11500-150;SP;Cubatão;Jardim São Francisco;Bernardino de Pinho Gomes; - ;(13)3361-5251;anjostransportes@hotmail.com;anjostransportes@hotmail.com; - ;07/08/2018 13:45:37;07/08/2020 13:45:37;11.748.580/0001-16;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
PORTAL DE EVENTOS EIRELI;PORTAL DE EVENTOS LTDA;11.767.633/0001-46;MICROEMPRESA;31/03/2010;Em Operação;Locadora de Veículos para Turistas;74853-010;GO;Goiânia;Jardim Santo Antônio;A; - ;(62)3598-0858;financeiro@portalstands.com.br;financeiro@portalstands.com.br;www.portalstands.com.br;27/02/2020 10:47:35;27/02/2022 10:47:35;11.767.633/0001-46;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
